,participant,session,order,start,end,start_hms,end_hms,place,activity
106,4,new,362,3048,3064,50M 48S,51M 4S,,
107,5,new,1,0,16,0S,16S,,
108,5,new,7,64,148,1M 4S,2M 28S,,
109,5,new,25,1050,1090,17M 30S,18M 10S,,
110,5,new,34,1210,1228,20M 10S,20M 28S,,
111,5,new,42,1576,1580,26M 16S,26M 20S,,
112,5,new,67,2096,2116,34M 56S,35M 16S,,
113,5,new,71,2190,2224,36M 30S,37M 4S,,
114,5,new,84,2338,2360,38M 58S,39M 20S,,
115,5,new,99,2606,2630,43M 26S,43M 50S,,
116,5,new,116,3034,3062,50M 34S,51M 2S,,
117,5,new,138,3954,3980,1H 5M 54S,1H 6M 20S,,
118,5,new,162,4810,4826,1H 20M 10S,1H 20M 26S,,
119,5,new,195,5396,5410,1H 29M 56S,1H 30M 10S,,
120,8,new,7,56,104,56S,1M 44S,,
121,8,new,9,110,118,1M 50S,1M 58S,,
122,8,new,13,132,140,2M 12S,2M 20S,,
123,8,new,21,228,230,3M 48S,3M 50S,,
124,8,new,25,252,274,4M 12S,4M 34S,,
125,8,new,39,356,362,5M 56S,6M 2S,,
126,8,new,45,390,404,6M 30S,6M 44S,,
127,8,new,46,446,464,7M 26S,7M 44S,,
128,8,new,76,798,806,13M 18S,13M 26S,,
129,8,new,78,824,844,13M 44S,14M 4S,,
130,8,new,124,1114,1150,18M 34S,19M 10S,,
131,8,new,126,1158,1176,19M 18S,19M 36S,,
132,8,new,181,1902,1926,31M 42S,32M 6S,,
133,9,new,281,1602,1616,26M 42S,26M 56S,,
134,9,new,285,1622,1632,27M 2S,27M 12S,,
135,9,new,301,1728,1732,28M 48S,28M 52S,,
136,9,new,491,3998,4020,1H 6M 38S,1H 7M 0S,,
137,9,new,510,4326,4330,1H 12M 6S,1H 12M 10S,,
138,9,new,522,4454,4468,1H 14M 14S,1H 14M 28S,,
139,10,new,2,0,26,0S,26S,,
140,11,new,13,196,208,3M 16S,3M 28S,,
141,11,new,63,782,784,13M 2S,13M 4S,,
142,11,new,103,1114,1134,18M 34S,18M 54S,,
143,11,new,124,1372,1376,22M 52S,22M 56S,,
144,11,new,173,1946,1968,32M 26S,32M 48S,,
145,11,new,302,2726,2748,45M 26S,45M 48S,,
146,11,new,476,4330,4334,1H 12M 10S,1H 12M 14S,,
147,13,new,746,2768,2770,46M 8S,46M 10S,,
148,18,new,1,0,52,0S,52S,,
149,18,new,20,156,164,2M 36S,2M 44S,,
150,18,new,21,170,214,2M 50S,3M 34S,,
151,18,new,22,172,184,2M 52S,3M 4S,,
152,18,new,31,248,250,4M 8S,4M 10S,,
153,18,new,37,260,350,4M 20S,5M 50S,,
154,18,new,45,302,320,5M 2S,5M 20S,,
155,18,new,74,444,454,7M 24S,7M 34S,,
156,18,new,92,546,572,9M 6S,9M 32S,,
157,18,new,100,604,608,10M 4S,10M 8S,,
158,18,new,103,618,624,10M 18S,10M 24S,,
159,18,new,150,974,980,16M 14S,16M 20S,,
160,18,new,171,1036,1042,17M 16S,17M 22S,,
161,18,new,182,1062,1070,17M 42S,17M 50S,,
162,18,new,185,1086,1112,18M 6S,18M 32S,,
163,18,new,204,1156,1158,19M 16S,19M 18S,,
164,18,new,210,1180,1200,19M 40S,20M 0S,,
165,18,new,213,1198,1264,19M 58S,21M 4S,,
166,18,new,222,1290,1338,21M 30S,22M 18S,,
167,18,new,253,1450,1474,24M 10S,24M 34S,,
168,18,new,292,1678,1684,27M 58S,28M 4S,,
169,18,new,305,1716,1738,28M 36S,28M 58S,,
170,18,new,360,1850,1888,30M 50S,31M 28S,,
171,18,new,387,1982,1986,33M 2S,33M 6S,,
172,18,new,397,2048,2056,34M 8S,34M 16S,,
173,18,new,399,2070,2080,34M 30S,34M 40S,,
174,18,new,414,2134,2198,35M 34S,36M 38S,,
175,18,new,415,2160,2164,36M 0S,36M 4S,,
176,18,new,457,2306,2340,38M 26S,39M 0S,,
177,18,new,527,2546,2680,42M 26S,44M 40S,,
178,18,new,564,2842,2854,47M 22S,47M 34S,,
179,18,new,565,2846,2990,47M 26S,49M 50S,,
