,participant,session,order,start,end,start_hms,end_hms,place,activity,,,participant,session,items_uniq,order,start,end,start_hms,end_hms,type
52,19,reg,249,1864,1868,31M 4S,31M 8S,stove,,,,17,new,wok_black,10,124,136,2M 4S,2M 16S,wok
53,19,reg,500,4036,4038,1H 7M 16S,1H 7M 18S,stove,,,,19,new,1,130,1124,1134,18M 44S,18M 54S,large
54,20,reg,332,2356,2388,39M 16S,39M 48S,stove,,,,19,new,2,292,2466,2470,41M 6S,41M 10S,small
55,20,reg,358,2462,2466,41M 2S,41M 6S,stove,,,,20,new,1,13,3586,3588,59M 46S,59M 48S,large
56,1,new,79,484,492,8M 4S,8M 12S,stove,,,,20,new,2,21,3602,3604,1H 0M 2S,1H 0M 4S,medium
57,1,new,328,2828,2848,47M 8S,47M 28S,sk,,,,,,,,,,,,
58,2,new,157,2352,2366,39M 12S,39M 26S,stove,,,,,,,,,,,,
59,2,new,188,2572,2580,42M 52S,43M 0S,stove,,,,,,,,,,,,
60,2,new,249,3284,3312,54M 44S,55M 12S,stove,,,,,,,,,,,,
61,2,new,300,3934,3944,1H 5M 34S,1H 5M 44S,stove,,,,,,,,,,,,
62,2,new,425,4876,4890,1H 21M 16S,1H 21M 30S,stove,,,,,,,,,,,,
63,3,new,28,744,762,12M 24S,12M 42S,stove,,,,,,,,,,,,
64,3,new,148,1992,2028,33M 12S,33M 48S,sk,,,,,,,,,,,,
65,3,new,181,2296,2308,38M 16S,38M 28S,stove,,,,,,,,,,,,
66,4,new,187,1858,1886,30M 58S,31M 26S,stove,,,,,,,,,,,,
67,4,new,267,2334,2350,38M 54S,39M 10S,cpB,,,,,,,,,,,,
68,5,new,55,1728,1756,28M 48S,29M 16S,stove,,,,,,,,,,,,
69,6,new,312,4548,4574,1H 15M 48S,1H 16M 14S,stove,,,,,,,,,,,,
70,6,new,351,5196,5198,1H 26M 36S,1H 26M 38S,stove,,,,,,,,,,,,
71,8,new,134,1296,1350,21M 36S,22M 30S,stove,,,,,,,,,,,,
72,8,new,160,1582,1652,26M 22S,27M 32S,table,,,,,,,,,,,,
73,10,new,77,976,1008,16M 16S,16M 48S,stove,,,,,,,,,,,,
74,10,new,217,2244,2280,37M 24S,38M 0S,stove,,,,,,,,,,,,
75,10,new,279,2852,2870,47M 32S,47M 50S,stove,,,,,,,,,,,,
76,10,new,296,3022,3024,50M 22S,50M 24S,stove,,,,,,,,,,,,
77,10,new,338,3364,3368,56M 4S,56M 8S,stove,,,,,,,,,,,,
78,10,new,560,4856,4908,1H 20M 56S,1H 21M 48S,sk,,,,,,,,,,,,
79,11,new,323,2990,2996,49M 50S,49M 56S,co,stove,,,,,,,,,,,
80,11,new,422,3816,3884,1H 3M 36S,1H 4M 44S,stove,,,,,,,,,,,,
81,11,new,484,4396,4430,1H 13M 16S,1H 13M 50S,stove,,,,,,,,,,,,
82,11,new,566,4900,4914,1H 21M 40S,1H 21M 54S,stove,,,,,,,,,,,,
83,12,new,288,3254,3264,54M 14S,54M 24S,stove,,,,,,,,,,,,
84,12,new,348,4270,4406,1H 11M 10S,1H 13M 26S,stove,,,,,,,,,,,,
85,12,new,396,5058,5064,1H 24M 18S,1H 24M 24S,stove,,,,,,,,,,,,
86,12,new,425,5742,5804,1H 35M 42S,1H 36M 44S,stove,,,,,,,,,,,,
87,12,new,437,5960,5976,1H 39M 20S,1H 39M 36S,stove,,,,,,,,,,,,
88,12,new,478,6496,6506,1H 48M 16S,1H 48M 26S,sk,,,,,,,,,,,,
89,12,new,498,6838,6852,1H 53M 58S,1H 54M 12S,stove,,,,,,,,,,,,
90,12,new,547,7350,7360,2H 2M 30S,2H 2M 40S,floor,,,,,,,,,,,,
91,13,new,260,1022,1038,17M 2S,17M 18S,floor,,,,,,,,,,,,
92,13,new,438,1656,1662,27M 36S,27M 42S,stove,,,,,,,,,,,,
93,14,new,134,820,840,13M 40S,14M 0S,stove,,,,,,,,,,,,
94,14,new,196,1400,1402,23M 20S,23M 22S,stove,,,,,,,,,,,,
95,14,new,348,2868,2922,47M 48S,48M 42S,stove,,,,,,,,,,,,
96,15,new,208,1238,1242,20M 38S,20M 42S,stove,,,,,,,,,,,,
97,15,new,260,1596,1608,26M 36S,26M 48S,stove,,,,,,,,,,,,
98,16,new,132,2514,2524,41M 54S,42M 4S,stove,,,,,,,,,,,,
99,16,new,178,2958,2960,49M 18S,49M 20S,stove,,,,,,,,,,,,
100,16,new,246,3588,3598,59M 48S,59M 58S,co,stove,,,,,,,,,,,
101,17,new,16,152,154,2M 32S,2M 34S,stove,,,,,,,,,,,,
102,17,new,285,3628,3630,1H 0M 28S,1H 0M 30S,stove,,,,,,,,,,,,
103,17,new,329,4016,4078,1H 6M 56S,1H 7M 58S,stove,,,,,,,,,,,,
104,17,new,377,4354,4356,1H 12M 34S,1H 12M 36S,stove,,,,,,,,,,,,
105,17,new,444,4772,4780,1H 19M 32S,1H 19M 40S,stove,,,,,,,,,,,,
106,17,new,472,4950,4954,1H 22M 30S,1H 22M 34S,stove,,,,,,,,,,,,
107,17,new,516,5180,5184,1H 26M 20S,1H 26M 24S,stove,,,,,,,,,,,,
108,18,new,47,320,324,5M 20S,5M 24S,cpB,,,,,,,,,,,,
109,19,new,173,1396,1406,23M 16S,23M 26S,stove,,,,,,,,,,,,
110,19,new,210,1662,1692,27M 42S,28M 12S,stove,,,,,,,,,,,,
111,19,new,292,2466,2470,41M 6S,41M 10S,cpB,,,,,,,,,,,,
112,19,new,348,2992,3016,49M 52S,50M 16S,stove,,,,,,,,,,,,
113,20,new,70,3840,3842,1H 4M 0S,1H 4M 2S,stove,,,,,,,,,,,,
