,participant,session,order,start,end,start_hms,end_hms,place,activity,,,participant,session,items_uniq,order,start,end,start_hms,end_hms,type
310,11,reg,302,3018,3248,50M 18S,54M 8S,,,,,,,,,,,,,
311,12,reg,21,196,200,3M 16S,3M 20S,,,,,,,,,,,,,
312,12,reg,54,606,608,10M 6S,10M 8S,,,,,,,,,,,,,
313,12,reg,56,644,648,10M 44S,10M 48S,,,,,,,,,,,,,
314,12,reg,62,666,746,11M 6S,12M 26S,,,,,,,,,,,,,
315,12,reg,86,968,980,16M 8S,16M 20S,,,,,,,,,,,,,
316,12,reg,90,1000,1028,16M 40S,17M 8S,,,,,,,,,,,,,
317,12,reg,120,1322,1348,22M 2S,22M 28S,,,,,,,,,,,,,
318,12,reg,197,2242,2260,37M 22S,37M 40S,,,,,,,,,,,,,
319,12,reg,201,2260,2298,37M 40S,38M 18S,,,,,,,,,,,,,
320,12,reg,204,2300,2324,38M 20S,38M 44S,,,,,,,,,,,,,
321,12,reg,223,2488,2494,41M 28S,41M 34S,,,,,,,,,,,,,
322,12,reg,225,2554,2570,42M 34S,42M 50S,,,,,,,,,,,,,
323,12,reg,228,2580,2646,43M 0S,44M 6S,,,,,,,,,,,,,
324,12,reg,233,2652,2658,44M 12S,44M 18S,,,,,,,,,,,,,
325,12,reg,235,2662,2674,44M 22S,44M 34S,,,,,,,,,,,,,
326,12,reg,241,2690,2696,44M 50S,44M 56S,,,,,,,,,,,,,
327,12,reg,257,2878,2882,47M 58S,48M 2S,,,,,,,,,,,,,
328,12,reg,258,2884,2886,48M 4S,48M 6S,,,,,,,,,,,,,
329,12,reg,262,2900,2936,48M 20S,48M 56S,,,,,,,,,,,,,
330,12,reg,269,2948,2972,49M 8S,49M 32S,,,,,,,,,,,,,
331,12,reg,272,3018,3032,50M 18S,50M 32S,,,,,,,,,,,,,
332,12,reg,273,3034,3048,50M 34S,50M 48S,,,,,,,,,,,,,
333,12,reg,278,3118,3170,51M 58S,52M 50S,,,,,,,,,,,,,
334,12,reg,281,3172,3176,52M 52S,52M 56S,,,,,,,,,,,,,
335,12,reg,285,3186,3196,53M 6S,53M 16S,,,,,,,,,,,,,
336,12,reg,290,3208,3212,53M 28S,53M 32S,,,,,,,,,,,,,
337,12,reg,294,3216,3234,53M 36S,53M 54S,,,,,,,,,,,,,
338,12,reg,299,3248,3266,54M 8S,54M 26S,,,,,,,,,,,,,
339,12,reg,308,3324,3434,55M 24S,57M 14S,,,,,,,,,,,,,
340,12,reg,309,3324,3382,55M 24S,56M 22S,,,,,,,,,,,,,
341,12,reg,320,3452,3472,57M 32S,57M 52S,,,,,,,,,,,,,
342,12,reg,327,3514,3524,58M 34S,58M 44S,,,,,,,,,,,,,
343,12,reg,345,3650,3708,1H 0M 50S,1H 1M 48S,,,,,,,,,,,,,
344,12,reg,368,3868,3914,1H 4M 28S,1H 5M 14S,,,,,,,,,,,,,
345,12,reg,372,3920,3952,1H 5M 20S,1H 5M 52S,,,,,,,,,,,,,
346,12,reg,378,3968,3970,1H 6M 8S,1H 6M 10S,,,,,,,,,,,,,
347,12,reg,392,4092,4120,1H 8M 12S,1H 8M 40S,,,,,,,,,,,,,
348,12,reg,394,4122,4126,1H 8M 42S,1H 8M 46S,,,,,,,,,,,,,
349,12,reg,398,4158,4212,1H 9M 18S,1H 10M 12S,,,,,,,,,,,,,
350,12,reg,409,4274,4286,1H 11M 14S,1H 11M 26S,,,,,,,,,,,,,
351,12,reg,412,4292,4328,1H 11M 32S,1H 12M 8S,,,,,,,,,,,,,
352,13,reg,26,192,194,3M 12S,3M 14S,,,,,,,,,,,,,
353,13,reg,278,1800,1810,30M 0S,30M 10S,,,,,,,,,,,,,
354,13,reg,301,1876,1878,31M 16S,31M 18S,,,,,,,,,,,,,
355,13,reg,305,1886,1888,31M 26S,31M 28S,,,,,,,,,,,,,
356,13,reg,314,1930,1958,32M 10S,32M 38S,,,,,,,,,,,,,
357,13,reg,321,1986,2004,33M 6S,33M 24S,,,,,,,,,,,,,
358,13,reg,347,2086,2106,34M 46S,35M 6S,,,,,,,,,,,,,
359,13,reg,359,2146,2156,35M 46S,35M 56S,,,,,,,,,,,,,
360,13,reg,363,2166,2168,36M 6S,36M 8S,,,,,,,,,,,,,
361,13,reg,386,2236,2246,37M 16S,37M 26S,,,,,,,,,,,,,
362,13,reg,388,2250,2252,37M 30S,37M 32S,,,,,,,,,,,,,
363,13,reg,395,2264,2292,37M 44S,38M 12S,,,,,,,,,,,,,
364,13,reg,401,2320,2352,38M 40S,39M 12S,,,,,,,,,,,,,
365,13,reg,419,2488,2508,41M 28S,41M 48S,,,,,,,,,,,,,
366,13,reg,422,2510,2512,41M 50S,41M 52S,,,,,,,,,,,,,
367,14,reg,23,220,224,3M 40S,3M 44S,,,,,,,,,,,,,
368,14,reg,53,426,448,7M 6S,7M 28S,,,,,,,,,,,,,
369,14,reg,75,528,540,8M 48S,9M 0S,,,,,,,,,,,,,
370,14,reg,82,666,690,11M 6S,11M 30S,,,,,,,,,,,,,
371,14,reg,97,760,772,12M 40S,12M 52S,,,,,,,,,,,,,
372,14,reg,106,936,964,15M 36S,16M 4S,,,,,,,,,,,,,
373,14,reg,112,1016,1026,16M 56S,17M 6S,,,,,,,,,,,,,
374,14,reg,115,1030,1042,17M 10S,17M 22S,,,,,,,,,,,,,
375,14,reg,137,1140,1162,19M 0S,19M 22S,,,,,,,,,,,,,
376,14,reg,140,1170,1172,19M 30S,19M 32S,,,,,,,,,,,,,
377,14,reg,143,1172,1202,19M 32S,20M 2S,,,,,,,,,,,,,
378,14,reg,147,1206,1214,20M 6S,20M 14S,,,,,,,,,,,,,
379,14,reg,150,1216,1232,20M 16S,20M 32S,,,,,,,,,,,,,
380,14,reg,154,1248,1252,20M 48S,20M 52S,,,,,,,,,,,,,
381,14,reg,161,1270,1282,21M 10S,21M 22S,,,,,,,,,,,,,
382,14,reg,167,1300,1304,21M 40S,21M 44S,,,,,,,,,,,,,
383,14,reg,171,1306,1346,21M 46S,22M 26S,,,,,,,,,,,,,
384,14,reg,174,1348,1590,22M 28S,26M 30S,,,,,,,,,,,,,
385,14,reg,177,1358,1378,22M 38S,22M 58S,,,,,,,,,,,,,
386,14,reg,195,1622,1626,27M 2S,27M 6S,,,,,,,,,,,,,
387,14,reg,209,1692,1704,28M 12S,28M 24S,,,,,,,,,,,,,
388,14,reg,218,2162,2186,36M 2S,36M 26S,,,,,,,,,,,,,
389,14,reg,227,2256,2262,37M 36S,37M 42S,,,,,,,,,,,,,
390,14,reg,243,2360,2364,39M 20S,39M 24S,,,,,,,,,,,,,
391,14,reg,265,2494,2502,41M 34S,41M 42S,,,,,,,,,,,,,
392,14,reg,283,2568,2576,42M 48S,42M 56S,,,,,,,,,,,,,
393,14,reg,321,2920,2926,48M 40S,48M 46S,,,,,,,,,,,,,
394,14,reg,364,3182,3190,53M 2S,53M 10S,,,,,,,,,,,,,
395,14,reg,373,3240,3244,54M 0S,54M 4S,,,,,,,,,,,,,
396,14,reg,405,3446,3462,57M 26S,57M 42S,,,,,,,,,,,,,
397,14,reg,410,3468,3514,57M 48S,58M 34S,,,,,,,,,,,,,
398,14,reg,447,3704,3726,1H 1M 44S,1H 2M 6S,,,,,,,,,,,,,
399,14,reg,457,3758,3786,1H 2M 38S,1H 3M 6S,,,,,,,,,,,,,
400,14,reg,463,3800,3802,1H 3M 20S,1H 3M 22S,,,,,,,,,,,,,
401,14,reg,466,3802,3822,1H 3M 22S,1H 3M 42S,,,,,,,,,,,,,
402,14,reg,497,3998,4020,1H 6M 38S,1H 7M 0S,,,,,,,,,,,,,
403,14,reg,522,4254,4262,1H 10M 54S,1H 11M 2S,,,,,,,,,,,,,
404,14,reg,526,4270,4308,1H 11M 10S,1H 11M 48S,,,,,,,,,,,,,
405,17,reg,37,410,424,6M 50S,7M 4S,,,,,,,,,,,,,
406,17,reg,38,410,414,6M 50S,6M 54S,,,,,,,,,,,,,
407,17,reg,39,410,414,6M 50S,6M 54S,,,,,,,,,,,,,
408,17,reg,45,458,460,7M 38S,7M 40S,,,,,,,,,,,,,
409,17,reg,51,490,496,8M 10S,8M 16S,,,,,,,,,,,,,
410,17,reg,67,962,972,16M 2S,16M 12S,,,,,,,,,,,,,
411,17,reg,77,1162,1166,19M 22S,19M 26S,,,,,,,,,,,,,
412,17,reg,85,1190,1198,19M 50S,19M 58S,,,,,,,,,,,,,
413,17,reg,89,1230,1266,20M 30S,21M 6S,,,,,,,,,,,,,
414,18,reg,20,142,144,2M 22S,2M 24S,,,,,,,,,,,,,
415,18,reg,27,162,192,2M 42S,3M 12S,,,,,,,,,,,,,
416,18,reg,33,186,188,3M 6S,3M 8S,,,,,,,,,,,,,
417,18,reg,47,296,298,4M 56S,4M 58S,,,,,,,,,,,,,
418,18,reg,50,300,310,5M 0S,5M 10S,,,,,,,,,,,,,
419,18,reg,66,384,390,6M 24S,6M 30S,,,,,,,,,,,,,
420,18,reg,80,426,440,7M 6S,7M 20S,,,,,,,,,,,,,
421,18,reg,82,452,456,7M 32S,7M 36S,,,,,,,,,,,,,
422,18,reg,85,458,462,7M 38S,7M 42S,,,,,,,,,,,,,
423,18,reg,87,466,470,7M 46S,7M 50S,,,,,,,,,,,,,
424,18,reg,91,468,478,7M 48S,7M 58S,,,,,,,,,,,,,
425,18,reg,102,498,500,8M 18S,8M 20S,,,,,,,,,,,,,
426,18,reg,112,542,548,9M 2S,9M 8S,,,,,,,,,,,,,
427,18,reg,126,622,642,10M 22S,10M 42S,,,,,,,,,,,,,
428,18,reg,130,644,646,10M 44S,10M 46S,,,,,,,,,,,,,
429,18,reg,139,654,658,10M 54S,10M 58S,,,,,,,,,,,,,
430,18,reg,146,672,676,11M 12S,11M 16S,,,,,,,,,,,,,
431,18,reg,148,674,688,11M 14S,11M 28S,,,,,,,,,,,,,
432,18,reg,159,700,702,11M 40S,11M 42S,,,,,,,,,,,,,
433,18,reg,182,738,748,12M 18S,12M 28S,,,,,,,,,,,,,
434,18,reg,192,794,802,13M 14S,13M 22S,,,,,,,,,,,,,
435,18,reg,200,884,886,14M 44S,14M 46S,,,,,,,,,,,,,
436,18,reg,201,886,888,14M 46S,14M 48S,,,,,,,,,,,,,
437,18,reg,206,944,948,15M 44S,15M 48S,,,,,,,,,,,,,
438,18,reg,224,1006,1010,16M 46S,16M 50S,,,,,,,,,,,,,
439,18,reg,226,1018,1020,16M 58S,17M 0S,,,,,,,,,,,,,
440,18,reg,231,1070,1072,17M 50S,17M 52S,,,,,,,,,,,,,
441,18,reg,247,1294,1300,21M 34S,21M 40S,,,,,,,,,,,,,
442,18,reg,251,1308,1310,21M 48S,21M 50S,,,,,,,,,,,,,
443,18,reg,257,1318,1338,21M 58S,22M 18S,,,,,,,,,,,,,
444,18,reg,272,1348,1372,22M 28S,22M 52S,,,,,,,,,,,,,
445,18,reg,281,1386,1404,23M 6S,23M 24S,,,,,,,,,,,,,
446,18,reg,292,1434,1444,23M 54S,24M 4S,,,,,,,,,,,,,
447,18,reg,300,1472,1492,24M 32S,24M 52S,,,,,,,,,,,,,
448,18,reg,311,1524,1574,25M 24S,26M 14S,,,,,,,,,,,,,
449,18,reg,331,1586,1634,26M 26S,27M 14S,,,,,,,,,,,,,
450,18,reg,341,1646,1666,27M 26S,27M 46S,,,,,,,,,,,,,
451,18,reg,348,1682,1696,28M 2S,28M 16S,,,,,,,,,,,,,
452,18,reg,360,1732,1742,28M 52S,29M 2S,,,,,,,,,,,,,
453,18,reg,367,1748,1750,29M 8S,29M 10S,,,,,,,,,,,,,
454,18,reg,371,1752,1766,29M 12S,29M 26S,,,,,,,,,,,,,
455,18,reg,373,1774,1776,29M 34S,29M 36S,,,,,,,,,,,,,
456,18,reg,378,1800,1814,30M 0S,30M 14S,,,,,,,,,,,,,
457,18,reg,396,1848,1858,30M 48S,30M 58S,,,,,,,,,,,,,
458,18,reg,399,1864,1872,31M 4S,31M 12S,,,,,,,,,,,,,
459,18,reg,406,1880,1886,31M 20S,31M 26S,,,,,,,,,,,,,
460,18,reg,408,1890,1904,31M 30S,31M 44S,,,,,,,,,,,,,
461,18,reg,417,1910,1912,31M 50S,31M 52S,,,,,,,,,,,,,
462,18,reg,419,1912,1928,31M 52S,32M 8S,,,,,,,,,,,,,
463,18,reg,440,2066,2082,34M 26S,34M 42S,,,,,,,,,,,,,
464,18,reg,444,2090,2102,34M 50S,35M 2S,,,,,,,,,,,,,
465,18,reg,458,2120,2150,35M 20S,35M 50S,,,,,,,,,,,,,
466,18,reg,487,2242,2244,37M 22S,37M 24S,,,,,,,,,,,,,
467,18,reg,501,2292,2296,38M 12S,38M 16S,,,,,,,,,,,,,
468,18,reg,504,2300,2304,38M 20S,38M 24S,,,,,,,,,,,,,
469,18,reg,510,2308,2310,38M 28S,38M 30S,,,,,,,,,,,,,
470,18,reg,516,2316,2318,38M 36S,38M 38S,,,,,,,,,,,,,
471,18,reg,517,2318,2320,38M 38S,38M 40S,,,,,,,,,,,,,
472,18,reg,518,2318,2320,38M 38S,38M 40S,,,,,,,,,,,,,
473,18,reg,524,2326,2352,38M 46S,39M 12S,,,,,,,,,,,,,
474,18,reg,535,2356,2408,39M 16S,40M 8S,,,,,,,,,,,,,
475,18,reg,538,2358,2406,39M 18S,40M 6S,,,,,,,,,,,,,
476,18,reg,544,2412,2420,40M 12S,40M 20S,,,,,,,,,,,,,
477,18,reg,549,2422,2440,40M 22S,40M 40S,,,,,,,,,,,,,
478,18,reg,559,2472,2506,41M 12S,41M 46S,,,,,,,,,,,,,
479,18,reg,565,2514,2532,41M 54S,42M 12S,,,,,,,,,,,,,
480,18,reg,570,2540,2548,42M 20S,42M 28S,,,,,,,,,,,,,
481,19,reg,82,458,464,7M 38S,7M 44S,,,,,,,,,,,,,
482,19,reg,84,474,480,7M 54S,8M 0S,,,,,,,,,,,,,
483,19,reg,110,760,762,12M 40S,12M 42S,,,,,,,,,,,,,
484,19,reg,115,770,788,12M 50S,13M 8S,,,,,,,,,,,,,
485,19,reg,121,794,796,13M 14S,13M 16S,,,,,,,,,,,,,
486,19,reg,125,804,806,13M 24S,13M 26S,,,,,,,,,,,,,
487,19,reg,139,900,902,15M 0S,15M 2S,,,,,,,,,,,,,
488,19,reg,141,910,914,15M 10S,15M 14S,,,,,,,,,,,,,
489,19,reg,148,928,998,15M 28S,16M 38S,,,,,,,,,,,,,
490,19,reg,151,1004,1014,16M 44S,16M 54S,,,,,,,,,,,,,
491,19,reg,153,1018,1026,16M 58S,17M 6S,,,,,,,,,,,,,
492,19,reg,156,1038,1060,17M 18S,17M 40S,,,,,,,,,,,,,
493,19,reg,159,1092,1100,18M 12S,18M 20S,,,,,,,,,,,,,
494,19,reg,163,1136,1208,18M 56S,20M 8S,,,,,,,,,,,,,
495,19,reg,172,1226,1260,20M 26S,21M 0S,,,,,,,,,,,,,
496,19,reg,177,1274,1288,21M 14S,21M 28S,,,,,,,,,,,,,
497,19,reg,182,1338,1392,22M 18S,23M 12S,,,,,,,,,,,,,
498,19,reg,184,1396,1436,23M 16S,23M 56S,,,,,,,,,,,,,
499,19,reg,186,1446,1464,24M 6S,24M 24S,,,,,,,,,,,,,
500,19,reg,190,1490,1514,24M 50S,25M 14S,,,,,,,,,,,,,
501,19,reg,192,1518,1536,25M 18S,25M 36S,,,,,,,,,,,,,
502,19,reg,206,1560,1580,26M 0S,26M 20S,,,,,,,,,,,,,
503,19,reg,210,1582,1646,26M 22S,27M 26S,,,,,,,,,,,,,
504,19,reg,215,1648,1688,27M 28S,28M 8S,,,,,,,,,,,,,
505,19,reg,226,1706,1740,28M 26S,29M 0S,,,,,,,,,,,,,
506,19,reg,231,1748,1762,29M 8S,29M 22S,,,,,,,,,,,,,
507,19,reg,235,1776,1816,29M 36S,30M 16S,,,,,,,,,,,,,
508,19,reg,239,1818,1830,30M 18S,30M 30S,,,,,,,,,,,,,
509,19,reg,245,1838,1860,30M 38S,31M 0S,,,,,,,,,,,,,
510,19,reg,257,1900,1932,31M 40S,32M 12S,,,,,,,,,,,,,
511,19,reg,266,1950,1950,32M 30S,32M 30S,,,,,,,,,,,,,
512,19,reg,269,1954,1968,32M 34S,32M 48S,,,,,,,,,,,,,
513,19,reg,290,2044,2080,34M 4S,34M 40S,,,,,,,,,,,,,
514,19,reg,315,2180,2198,36M 20S,36M 38S,,,,,,,,,,,,,
515,19,reg,337,2328,2358,38M 48S,39M 18S,,,,,,,,,,,,,
516,19,reg,359,2486,2512,41M 26S,41M 52S,,,,,,,,,,,,,
517,19,reg,370,2558,2566,42M 38S,42M 46S,,,,,,,,,,,,,
518,19,reg,385,2654,2676,44M 14S,44M 36S,,,,,,,,,,,,,
519,19,reg,395,2768,2832,46M 8S,47M 12S,,,,,,,,,,,,,
520,19,reg,439,3218,3236,53M 38S,53M 56S,,,,,,,,,,,,,
521,20,reg,252,1904,1912,31M 44S,31M 52S,,,,,,,,,,,,,
522,20,reg,307,2212,2214,36M 52S,36M 54S,,,,,,,,,,,,,
523,20,reg,311,2218,2224,36M 58S,37M 4S,,,,,,,,,,,,,
524,20,reg,315,2228,2232,37M 8S,37M 12S,,,,,,,,,,,,,
525,20,reg,318,2242,2264,37M 22S,37M 44S,,,,,,,,,,,,,
526,20,reg,325,2280,2338,38M 0S,38M 58S,,,,,,,,,,,,,
527,20,reg,345,2418,2424,40M 18S,40M 24S,,,,,,,,,,,,,
528,20,reg,350,2430,2434,40M 30S,40M 34S,,,,,,,,,,,,,
529,20,reg,352,2438,2448,40M 38S,40M 48S,,,,,,,,,,,,,
530,20,reg,364,2472,2474,41M 12S,41M 14S,,,,,,,,,,,,,
531,20,reg,507,3408,3414,56M 48S,56M 54S,,,,,,,,,,,,,
532,20,reg,512,3418,3420,56M 58S,57M 0S,,,,,,,,,,,,,
533,20,reg,516,3424,3468,57M 4S,57M 48S,,,,,,,,,,,,,
534,20,reg,521,3480,3518,58M 0S,58M 38S,,,,,,,,,,,,,
535,20,reg,524,3524,3526,58M 44S,58M 46S,,,,,,,,,,,,,
536,20,reg,526,3526,3528,58M 46S,58M 48S,,,,,,,,,,,,,
537,1,new,26,180,184,3M 0S,3M 4S,,,,,,,,,,,,,
538,1,new,33,204,238,3M 24S,3M 58S,,,,,,,,,,,,,
539,1,new,37,254,258,4M 14S,4M 18S,,,,,,,,,,,,,
540,1,new,57,334,340,5M 34S,5M 40S,,,,,,,,,,,,,
541,1,new,64,368,370,6M 8S,6M 10S,,,,,,,,,,,,,
542,1,new,67,374,384,6M 14S,6M 24S,,,,,,,,,,,,,
543,1,new,88,542,548,9M 2S,9M 8S,,,,,,,,,,,,,
544,1,new,93,562,564,9M 22S,9M 24S,,,,,,,,,,,,,
545,1,new,97,572,574,9M 32S,9M 34S,,,,,,,,,,,,,
546,1,new,296,2182,2208,36M 22S,36M 48S,,,,,,,,,,,,,
547,2,new,15,134,172,2M 14S,2M 52S,,,,,,,,,,,,,
548,2,new,35,350,360,5M 50S,6M 0S,,,,,,,,,,,,,
549,2,new,83,950,954,15M 50S,15M 54S,,,,,,,,,,,,,
550,2,new,142,2240,2262,37M 20S,37M 42S,,,,,,,,,,,,,
551,2,new,147,2280,2290,38M 0S,38M 10S,,,,,,,,,,,,,
552,2,new,153,2310,2320,38M 30S,38M 40S,,,,,,,,,,,,,
553,2,new,155,2334,2340,38M 54S,39M 0S,,,,,,,,,,,,,
554,2,new,169,2410,2432,40M 10S,40M 32S,,,,,,,,,,,,,
555,2,new,174,2434,2456,40M 34S,40M 56S,,,,,,,,,,,,,
556,2,new,178,2462,2500,41M 2S,41M 40S,,,,,,,,,,,,,
557,2,new,183,2524,2546,42M 4S,42M 26S,,,,,,,,,,,,,
558,2,new,193,2622,2644,43M 42S,44M 4S,,,,,,,,,,,,,
559,2,new,203,2686,2690,44M 46S,44M 50S,,,,,,,,,,,,,
560,2,new,206,2746,2750,45M 46S,45M 50S,,,,,,,,,,,,,
561,2,new,209,2784,2788,46M 24S,46M 28S,,,,,,,,,,,,,
562,2,new,210,2838,2850,47M 18S,47M 30S,,,,,,,,,,,,,
563,2,new,214,2856,2880,47M 36S,48M 0S,,,,,,,,,,,,,
564,2,new,217,2892,2896,48M 12S,48M 16S,,,,,,,,,,,,,
565,2,new,218,2908,2918,48M 28S,48M 38S,,,,,,,,,,,,,
566,2,new,219,2928,2936,48M 48S,48M 56S,,,,,,,,,,,,,
567,2,new,220,2936,2950,48M 56S,49M 10S,,,,,,,,,,,,,
568,2,new,222,2960,2968,49M 20S,49M 28S,,,,,,,,,,,,,
569,2,new,224,2972,3000,49M 32S,50M 0S,,,,,,,,,,,,,
570,2,new,230,3060,3090,51M 0S,51M 30S,,,,,,,,,,,,,
571,2,new,235,3134,3136,52M 14S,52M 16S,,,,,,,,,,,,,
572,2,new,242,3244,3254,54M 4S,54M 14S,,,,,,,,,,,,,
573,2,new,258,3594,3612,59M 54S,1H 0M 12S,,,,,,,,,,,,,
574,2,new,261,3678,3702,1H 1M 18S,1H 1M 42S,,,,,,,,,,,,,
575,2,new,264,3770,3774,1H 2M 50S,1H 2M 54S,,,,,,,,,,,,,
576,2,new,279,3840,3846,1H 4M 0S,1H 4M 6S,,,,,,,,,,,,,
577,2,new,281,3852,3854,1H 4M 12S,1H 4M 14S,,,,,,,,,,,,,
578,2,new,282,3864,3866,1H 4M 24S,1H 4M 26S,,,,,,,,,,,,,
579,2,new,294,3900,3908,1H 5M 0S,1H 5M 8S,,,,,,,,,,,,,
580,2,new,310,3986,4060,1H 6M 26S,1H 7M 40S,,,,,,,,,,,,,
581,2,new,329,4160,4182,1H 9M 20S,1H 9M 42S,,,,,,,,,,,,,
582,2,new,342,4234,4272,1H 10M 34S,1H 11M 12S,,,,,,,,,,,,,
583,2,new,353,4336,4354,1H 12M 16S,1H 12M 34S,,,,,,,,,,,,,
584,2,new,360,4376,4388,1H 12M 56S,1H 13M 8S,,,,,,,,,,,,,
585,2,new,364,4428,4454,1H 13M 48S,1H 14M 14S,,,,,,,,,,,,,
586,2,new,370,4472,4490,1H 14M 32S,1H 14M 50S,,,,,,,,,,,,,
587,2,new,377,4512,4528,1H 15M 12S,1H 15M 28S,,,,,,,,,,,,,
588,2,new,392,4606,4618,1H 16M 46S,1H 16M 58S,,,,,,,,,,,,,
589,2,new,394,4636,4654,1H 17M 16S,1H 17M 34S,,,,,,,,,,,,,
590,2,new,398,4660,4662,1H 17M 40S,1H 17M 42S,,,,,,,,,,,,,
591,3,new,36,796,802,13M 16S,13M 22S,,,,,,,,,,,,,
592,3,new,44,894,896,14M 54S,14M 56S,,,,,,,,,,,,,
593,3,new,49,988,990,16M 28S,16M 30S,,,,,,,,,,,,,
594,3,new,53,1042,1044,17M 22S,17M 24S,,,,,,,,,,,,,
595,3,new,55,1052,1056,17M 32S,17M 36S,,,,,,,,,,,,,
596,3,new,57,1068,1074,17M 48S,17M 54S,,,,,,,,,,,,,
597,3,new,62,1102,1106,18M 22S,18M 26S,,,,,,,,,,,,,
598,3,new,68,1142,1152,19M 2S,19M 12S,,,,,,,,,,,,,
599,3,new,89,1314,1332,21M 54S,22M 12S,,,,,,,,,,,,,
600,3,new,96,1434,1434,23M 54S,23M 54S,,,,,,,,,,,,,
601,3,new,103,1558,1568,25M 58S,26M 8S,,,,,,,,,,,,,
602,3,new,108,1610,1612,26M 50S,26M 52S,,,,,,,,,,,,,
603,3,new,147,1980,1982,33M 0S,33M 2S,,,,,,,,,,,,,
604,3,new,154,2034,2046,33M 54S,34M 6S,,,,,,,,,,,,,
605,3,new,157,2074,2130,34M 34S,35M 30S,,,,,,,,,,,,,
606,3,new,169,2182,2184,36M 22S,36M 24S,,,,,,,,,,,,,
607,3,new,177,2234,2248,37M 14S,37M 28S,,,,,,,,,,,,,
608,3,new,178,2250,2274,37M 30S,37M 54S,,,,,,,,,,,,,
609,3,new,182,2308,2316,38M 28S,38M 36S,,,,,,,,,,,,,
610,3,new,187,2340,2346,39M 0S,39M 6S,,,,,,,,,,,,,
611,3,new,188,2350,2362,39M 10S,39M 22S,,,,,,,,,,,,,
612,3,new,194,2384,2388,39M 44S,39M 48S,,,,,,,,,,,,,
613,3,new,196,2394,2430,39M 54S,40M 30S,,,,,,,,,,,,,
614,4,new,136,1500,1506,25M 0S,25M 6S,,,,,,,,,,,,,
615,4,new,149,1574,1580,26M 14S,26M 20S,,,,,,,,,,,,,
616,4,new,153,1596,1602,26M 36S,26M 42S,,,,,,,,,,,,,
617,4,new,160,1654,1664,27M 34S,27M 44S,,,,,,,,,,,,,
618,4,new,167,1738,1766,28M 58S,29M 26S,,,,,,,,,,,,,
619,4,new,173,1788,1798,29M 48S,29M 58S,,,,,,,,,,,,,
620,4,new,182,1844,1846,30M 44S,30M 46S,,,,,,,,,,,,,
621,4,new,193,1918,1982,31M 58S,33M 2S,,,,,,,,,,,,,
622,4,new,201,2010,2034,33M 30S,33M 54S,,,,,,,,,,,,,
623,4,new,264,2328,2332,38M 48S,38M 52S,,,,,,,,,,,,,
624,4,new,287,2480,2482,41M 20S,41M 22S,,,,,,,,,,,,,
625,4,new,317,2738,2742,45M 38S,45M 42S,,,,,,,,,,,,,
626,5,new,53,1698,1702,28M 18S,28M 22S,,,,,,,,,,,,,
627,5,new,54,1718,1722,28M 38S,28M 42S,,,,,,,,,,,,,
628,5,new,70,2130,2138,35M 30S,35M 38S,,,,,,,,,,,,,
629,5,new,82,2284,2288,38M 4S,38M 8S,,,,,,,,,,,,,
630,5,new,103,2648,2652,44M 8S,44M 12S,,,,,,,,,,,,,
631,5,new,113,2778,2782,46M 18S,46M 22S,,,,,,,,,,,,,
632,5,new,127,3546,3550,59M 6S,59M 10S,,,,,,,,,,,,,
633,5,new,189,5358,5378,1H 29M 18S,1H 29M 38S,,,,,,,,,,,,,
634,5,new,194,5380,5390,1H 29M 40S,1H 29M 50S,,,,,,,,,,,,,
635,6,new,15,490,494,8M 10S,8M 14S,,,,,,,,,,,,,
636,6,new,269,3992,3994,1H 6M 32S,1H 6M 34S,,,,,,,,,,,,,
637,6,new,302,4334,4338,1H 12M 14S,1H 12M 18S,,,,,,,,,,,,,
638,6,new,307,4378,4392,1H 12M 58S,1H 13M 12S,,,,,,,,,,,,,
639,6,new,310,4456,4482,1H 14M 16S,1H 14M 42S,,,,,,,,,,,,,
640,6,new,311,4496,4530,1H 14M 56S,1H 15M 30S,,,,,,,,,,,,,
641,6,new,314,4620,4796,1H 17M 0S,1H 19M 56S,,,,,,,,,,,,,
642,6,new,316,4808,5430,1H 20M 8S,1H 30M 30S,,,,,,,,,,,,,
643,6,new,333,5036,5038,1H 23M 56S,1H 23M 58S,,,,,,,,,,,,,
644,8,new,54,548,550,9M 8S,9M 10S,,,,,,,,,,,,,
645,8,new,103,978,984,16M 18S,16M 24S,,,,,,,,,,,,,
646,8,new,105,986,992,16M 26S,16M 32S,,,,,,,,,,,,,
647,8,new,119,1056,1082,17M 36S,18M 2S,,,,,,,,,,,,,
648,8,new,122,1092,1106,18M 12S,18M 26S,,,,,,,,,,,,,
649,8,new,125,1154,1156,19M 14S,19M 16S,,,,,,,,,,,,,
650,8,new,127,1178,1230,19M 38S,20M 30S,,,,,,,,,,,,,
651,8,new,130,1266,1286,21M 6S,21M 26S,,,,,,,,,,,,,
652,8,new,137,1364,1392,22M 44S,23M 12S,,,,,,,,,,,,,
653,8,new,139,1402,1414,23M 22S,23M 34S,,,,,,,,,,,,,
654,8,new,149,1452,1478,24M 12S,24M 38S,,,,,,,,,,,,,
655,8,new,157,1526,1576,25M 26S,26M 16S,,,,,,,,,,,,,
656,8,new,165,1664,1668,27M 44S,27M 48S,,,,,,,,,,,,,
657,8,new,172,1734,1740,28M 54S,29M 0S,,,,,,,,,,,,,
