,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,comment
97,2,reg,52,776,778,12M 56S,12M 58S,,,,
98,2,reg,59,934,938,15M 34S,15M 38S,,,,
99,2,reg,62,1010,1014,16M 50S,16M 54S,,,,
100,2,reg,72,1228,1230,20M 28S,20M 30S,,,,
101,2,reg,84,1418,1432,23M 38S,23M 52S,,,,
102,2,reg,102,1644,1670,27M 24S,27M 50S,,,,
103,2,reg,142,2128,2130,35M 28S,35M 30S,,,,
104,2,reg,201,2580,2584,43M 0S,43M 4S,,,,
105,2,reg,217,2674,2688,44M 34S,44M 48S,,,,
106,2,reg,250,2910,2928,48M 30S,48M 48S,,,,
107,2,reg,329,4546,4574,1H 15M 46S,1H 16M 14S,,,,
108,4,reg,16,70,76,1M 10S,1M 16S,,,,
109,4,reg,18,70,76,1M 10S,1M 16S,,,,
110,4,reg,19,70,76,1M 10S,1M 16S,,,,
111,4,reg,24,120,122,2M 0S,2M 2S,,,,
112,4,reg,36,170,172,2M 50S,2M 52S,,,,
113,4,reg,40,214,216,3M 34S,3M 36S,,,,
114,4,reg,41,250,252,4M 10S,4M 12S,,,,
115,4,reg,44,266,268,4M 26S,4M 28S,,,,
116,4,reg,47,282,288,4M 42S,4M 48S,,,,
117,4,reg,54,424,426,7M 4S,7M 6S,,,,
118,4,reg,55,460,462,7M 40S,7M 42S,,,,
119,4,reg,56,506,508,8M 26S,8M 28S,,,,
120,4,reg,96,994,1014,16M 34S,16M 54S,,,,
121,4,reg,122,1178,1180,19M 38S,19M 40S,,,,
122,4,reg,150,1372,1380,22M 52S,23M 0S,,,,
123,4,reg,173,1454,1464,24M 14S,24M 24S,,,,
124,4,reg,174,1464,1476,24M 24S,24M 36S,,,,
125,4,reg,187,1552,1564,25M 52S,26M 4S,,,,
126,4,reg,188,1568,1572,26M 8S,26M 12S,,,,
127,4,reg,189,1568,1572,26M 8S,26M 12S,,,,
128,4,reg,190,1568,1572,26M 8S,26M 12S,,,,
129,4,reg,195,1616,1618,26M 56S,26M 58S,,,,
