,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,comment
442,10,new,187,1908,1910,31M 48S,31M 50S,,,,
443,10,new,192,1944,2134,32M 24S,35M 34S,,,,
444,10,new,210,2206,2210,36M 46S,36M 50S,,,,
445,10,new,214,2216,2224,36M 56S,37M 4S,,,,
446,10,new,219,2282,2284,38M 2S,38M 4S,,,,
447,10,new,277,2850,2852,47M 30S,47M 32S,,,,
448,10,new,369,3584,3588,59M 44S,59M 48S,,,,
449,10,new,379,3646,3672,1H 0M 46S,1H 1M 12S,,,,
450,10,new,402,3786,3788,1H 3M 6S,1H 3M 8S,,,,
451,10,new,427,3940,3942,1H 5M 40S,1H 5M 42S,,,,
452,10,new,445,4126,4130,1H 8M 46S,1H 8M 50S,,,,
453,10,new,678,5718,5720,1H 35M 18S,1H 35M 20S,,,,
454,10,new,680,5724,5726,1H 35M 24S,1H 35M 26S,,,,
455,10,new,711,5910,5912,1H 38M 30S,1H 38M 32S,,,,
456,10,new,712,5912,5914,1H 38M 32S,1H 38M 34S,,,,
457,10,new,741,6078,6090,1H 41M 18S,1H 41M 30S,,,,
458,10,new,771,6278,6288,1H 44M 38S,1H 44M 48S,,,,
459,10,new,797,6398,6472,1H 46M 38S,1H 47M 52S,,,,
460,10,new,798,6412,6458,1H 46M 52S,1H 47M 38S,,,,
461,10,new,818,6554,6556,1H 49M 14S,1H 49M 16S,,,,
462,10,new,821,6572,6594,1H 49M 32S,1H 49M 54S,,,,
463,10,new,828,6598,6610,1H 49M 58S,1H 50M 10S,,,,
464,10,new,829,6612,6628,1H 50M 12S,1H 50M 28S,,,,
465,11,new,201,2134,2136,35M 34S,35M 36S,,,,
466,11,new,205,2146,2158,35M 46S,35M 58S,,,,
467,11,new,216,2224,2240,37M 4S,37M 20S,,,,
468,11,new,247,2410,2414,40M 10S,40M 14S,,,,
469,11,new,273,2544,2548,42M 24S,42M 28S,,,,
470,11,new,313,2798,2962,46M 38S,49M 22S,,,,
471,11,new,328,3016,3062,50M 16S,51M 2S,,,,
472,11,new,340,3098,3330,51M 38S,55M 30S,,,,
473,11,new,376,3516,3550,58M 36S,59M 10S,,,,
474,11,new,524,4690,4692,1H 18M 10S,1H 18M 12S,,,,
475,12,new,24,270,272,4M 30S,4M 32S,,,,
476,12,new,28,278,280,4M 38S,4M 40S,,,,
477,12,new,29,278,280,4M 38S,4M 40S,,,,
478,12,new,61,570,572,9M 30S,9M 32S,,,,
479,12,new,62,602,604,10M 2S,10M 4S,,,,
480,12,new,63,638,640,10M 38S,10M 40S,,,,
481,12,new,64,648,650,10M 48S,10M 50S,,,,
482,12,new,124,1282,1284,21M 22S,21M 24S,,,,
483,12,new,129,1292,1296,21M 32S,21M 36S,,,,
484,12,new,133,1388,1392,23M 8S,23M 12S,,,,
485,12,new,135,1394,1396,23M 14S,23M 16S,,,,
486,12,new,138,1434,1436,23M 54S,23M 56S,,,,
487,12,new,147,1656,1658,27M 36S,27M 38S,,,,
488,12,new,148,1686,1688,28M 6S,28M 8S,,,,
489,12,new,150,1760,1762,29M 20S,29M 22S,,,,
490,12,new,151,1780,1782,29M 40S,29M 42S,,,,
491,12,new,152,1824,1826,30M 24S,30M 26S,,,,
492,12,new,183,2194,2196,36M 34S,36M 36S,,,,
493,12,new,185,2206,2210,36M 46S,36M 50S,,,,
494,12,new,186,2214,2220,36M 54S,37M 0S,,,,
495,12,new,191,2222,2226,37M 2S,37M 6S,,,,
496,12,new,236,2684,2686,44M 44S,44M 46S,,,,
497,12,new,264,2982,2990,49M 42S,49M 50S,,,,
498,12,new,295,3312,3336,55M 12S,55M 36S,,,,
499,12,new,304,3510,3530,58M 30S,58M 50S,,,,
500,12,new,561,7478,7480,2H 4M 38S,2H 4M 40S,,,,
501,13,new,58,284,290,4M 44S,4M 50S,,,,
502,13,new,63,292,294,4M 52S,4M 54S,,,,
503,13,new,67,300,370,5M 0S,6M 10S,,,,
504,13,new,80,350,400,5M 50S,6M 40S,,,,
505,13,new,96,440,446,7M 20S,7M 26S,,,,
506,13,new,100,456,464,7M 36S,7M 44S,,,,
507,13,new,107,480,484,8M 0S,8M 4S,,,,
508,13,new,110,502,508,8M 22S,8M 28S,,,,
509,13,new,116,556,560,9M 16S,9M 20S,,,,
510,13,new,118,560,564,9M 20S,9M 24S,,,,
511,13,new,130,618,622,10M 18S,10M 22S,,,,
512,13,new,131,630,634,10M 30S,10M 34S,,,,
513,13,new,134,644,646,10M 44S,10M 46S,,,,
514,13,new,136,646,650,10M 46S,10M 50S,,,,
515,13,new,146,672,680,11M 12S,11M 20S,,,,
516,13,new,152,688,692,11M 28S,11M 32S,,,,
517,13,new,163,718,722,11M 58S,12M 2S,,,,
518,13,new,169,736,740,12M 16S,12M 20S,,,,
519,13,new,174,746,748,12M 26S,12M 28S,,,,
520,13,new,181,762,774,12M 42S,12M 54S,,,,
521,13,new,193,794,798,13M 14S,13M 18S,,,,
522,13,new,199,824,836,13M 44S,13M 56S,,,,
523,13,new,207,854,856,14M 14S,14M 16S,,,,
524,13,new,212,860,862,14M 20S,14M 22S,,,,
525,13,new,227,898,914,14M 58S,15M 14S,,,,
526,13,new,236,946,950,15M 46S,15M 50S,,,,
527,13,new,237,948,950,15M 48S,15M 50S,,,,
528,13,new,266,1044,1062,17M 24S,17M 42S,,,,
529,13,new,312,1156,1190,19M 16S,19M 50S,,,,
530,13,new,439,1658,1678,27M 38S,27M 58S,,,,
531,13,new,462,1740,1742,29M 0S,29M 2S,,,,
532,13,new,468,1758,1768,29M 18S,29M 28S,,,,
533,13,new,478,1772,1804,29M 32S,30M 4S,,,,
534,13,new,509,1896,1910,31M 36S,31M 50S,,,,
535,13,new,521,1930,1938,32M 10S,32M 18S,,,,
536,13,new,543,2038,2042,33M 58S,34M 2S,,,,
537,13,new,818,3204,3206,53M 24S,53M 26S,,,,
538,14,new,153,934,936,15M 34S,15M 36S,,,,
539,14,new,266,1928,1964,32M 8S,32M 44S,,,,
540,14,new,275,1974,1994,32M 54S,33M 14S,,,,
541,14,new,363,2970,2974,49M 30S,49M 34S,,,,
542,15,new,29,184,194,3M 4S,3M 14S,,,,
543,15,new,32,202,204,3M 22S,3M 24S,,,,
544,15,new,35,210,214,3M 30S,3M 34S,,,,
545,15,new,38,218,220,3M 38S,3M 40S,,,,
546,15,new,41,226,230,3M 46S,3M 50S,,,,
547,15,new,44,232,238,3M 52S,3M 58S,,,,
548,15,new,123,770,774,12M 50S,12M 54S,,,,
549,15,new,127,784,788,13M 4S,13M 8S,,,,
550,15,new,132,806,810,13M 26S,13M 30S,,,,
551,15,new,134,814,816,13M 34S,13M 36S,,,,
552,15,new,187,1102,1104,18M 22S,18M 24S,,,,
553,15,new,198,1160,1164,19M 20S,19M 24S,,,,
554,15,new,231,1360,1362,22M 40S,22M 42S,,,,
555,15,new,240,1416,1452,23M 36S,24M 12S,,,,
556,15,new,270,1690,1694,28M 10S,28M 14S,,,,
557,15,new,285,1806,1822,30M 6S,30M 22S,,,,
558,15,new,322,1962,1970,32M 42S,32M 50S,,,,
559,15,new,332,2086,2088,34M 46S,34M 48S,,,,
560,15,new,336,2098,2100,34M 58S,35M 0S,,,,
561,15,new,340,2122,2126,35M 22S,35M 26S,,,,
562,15,new,341,2124,2126,35M 24S,35M 26S,,,,
563,15,new,385,2360,2368,39M 20S,39M 28S,,,,
564,15,new,387,2370,2374,39M 30S,39M 34S,,,,
565,15,new,442,2750,2768,45M 50S,46M 8S,,,,
566,16,new,4,1514,1518,25M 14S,25M 18S,,,,
567,16,new,13,1582,1588,26M 22S,26M 28S,,,,
568,16,new,14,1602,1606,26M 42S,26M 46S,,,,
569,16,new,18,1626,1630,27M 6S,27M 10S,,,,
570,16,new,23,1636,1642,27M 16S,27M 22S,,,,
571,16,new,211,3190,3196,53M 10S,53M 16S,,,,
572,17,new,106,1874,1904,31M 14S,31M 44S,,,,
573,17,new,113,1960,1968,32M 40S,32M 48S,,,,
574,17,new,117,1978,2000,32M 58S,33M 20S,,,,
575,17,new,121,2000,2008,33M 20S,33M 28S,,,,
576,17,new,124,2020,2022,33M 40S,33M 42S,,,,
577,17,new,128,2032,2038,33M 52S,33M 58S,,,,
578,17,new,131,2042,2052,34M 2S,34M 12S,,,,
579,17,new,134,2056,2062,34M 16S,34M 22S,,,,
580,17,new,137,2070,2072,34M 30S,34M 32S,,,,
581,17,new,140,2084,2088,34M 44S,34M 48S,,,,
582,17,new,142,2090,2160,34M 50S,36M 0S,,,,
583,17,new,147,2112,2124,35M 12S,35M 24S,,,,
584,17,new,157,2184,2186,36M 24S,36M 26S,,,,
585,17,new,158,2186,2188,36M 26S,36M 28S,,,,
586,17,new,159,2194,2208,36M 34S,36M 48S,,,,
587,17,new,164,2214,2272,36M 54S,37M 52S,,,,
588,17,new,172,2292,2316,38M 12S,38M 36S,,,,
589,17,new,185,2496,2498,41M 36S,41M 38S,,,,
590,17,new,201,2766,2778,46M 6S,46M 18S,,,,
591,17,new,205,2782,2816,46M 22S,46M 56S,,,,
592,17,new,208,2844,2862,47M 24S,47M 42S,,,,
593,17,new,220,2940,2944,49M 0S,49M 4S,,,,
594,17,new,221,2952,2954,49M 12S,49M 14S,,,,
595,17,new,250,3414,3446,56M 54S,57M 26S,,,,
596,17,new,257,3456,3474,57M 36S,57M 54S,,,,
597,17,new,262,3476,3496,57M 56S,58M 16S,,,,
598,17,new,287,3636,3644,1H 0M 36S,1H 0M 44S,,,,
599,17,new,290,3646,3690,1H 0M 46S,1H 1M 30S,,,,
600,17,new,300,3816,3826,1H 3M 36S,1H 3M 46S,,,,
601,17,new,385,4410,4416,1H 13M 30S,1H 13M 36S,,,,
602,17,new,463,4910,4922,1H 21M 50S,1H 22M 2S,,,,
603,18,new,46,304,308,5M 4S,5M 8S,,,,
604,18,new,48,324,328,5M 24S,5M 28S,,,,
605,18,new,70,442,448,7M 22S,7M 28S,,,,
606,18,new,315,1758,1768,29M 18S,29M 28S,,,,
607,18,new,336,1804,1810,30M 4S,30M 10S,,,,
608,18,new,365,1872,1874,31M 12S,31M 14S,,,,
609,18,new,369,1880,1884,31M 20S,31M 24S,,,,
610,18,new,375,1892,1986,31M 32S,33M 6S,,,,
611,18,new,402,2096,2156,34M 56S,35M 56S,,,,
612,18,new,450,2282,2286,38M 2S,38M 6S,,,,
613,18,new,454,2292,2298,38M 12S,38M 18S,,,,
614,18,new,456,2302,2306,38M 22S,38M 26S,,,,
615,18,new,470,2356,2366,39M 16S,39M 26S,,,,
616,18,new,477,2372,2376,39M 32S,39M 36S,,,,
617,18,new,482,2392,2400,39M 52S,40M 0S,,,,
618,18,new,488,2410,2414,40M 10S,40M 14S,,,,
619,18,new,501,2438,2440,40M 38S,40M 40S,,,,
620,18,new,506,2444,2614,40M 44S,43M 34S,,,,
621,18,new,511,2480,2486,41M 20S,41M 26S,,,,
622,18,new,514,2494,2496,41M 34S,41M 36S,,,,
623,18,new,517,2508,2510,41M 48S,41M 50S,,,,
624,18,new,521,2528,2536,42M 8S,42M 16S,,,,
625,18,new,534,2672,2674,44M 32S,44M 34S,,,,
626,18,new,542,2686,2738,44M 46S,45M 38S,,,,
627,18,new,549,2724,2736,45M 24S,45M 36S,,,,
628,18,new,558,2778,2808,46M 18S,46M 48S,,,,
629,18,new,562,2810,2840,46M 50S,47M 20S,,,,
630,18,new,569,2854,2876,47M 34S,47M 56S,,,,
631,18,new,574,2884,2932,48M 4S,48M 52S,,,,
632,18,new,577,2938,2956,48M 58S,49M 16S,,,,
633,18,new,581,2958,2982,49M 18S,49M 42S,,,,
634,18,new,585,2986,2990,49M 46S,49M 50S,,,,
635,18,new,589,2992,3000,49M 52S,50M 0S,,,,
636,18,new,594,3010,3024,50M 10S,50M 24S,,,,
637,18,new,597,3030,3076,50M 30S,51M 16S,,,,
638,18,new,599,3038,3044,50M 38S,50M 44S,,,,
639,18,new,614,3178,3202,52M 58S,53M 22S,,,,
640,18,new,619,3206,3400,53M 26S,56M 40S,,,,
641,18,new,625,3272,3278,54M 32S,54M 38S,,,,
642,18,new,629,3314,3320,55M 14S,55M 20S,,,,
643,18,new,633,3416,3428,56M 56S,57M 8S,,,,
644,18,new,637,3440,3446,57M 20S,57M 26S,,,,
645,18,new,641,3460,3808,57M 40S,1H 3M 28S,,,,
646,18,new,671,3878,3880,1H 4M 38S,1H 4M 40S,,,,
647,18,new,675,3890,3910,1H 4M 50S,1H 5M 10S,,,,
648,18,new,678,3912,3916,1H 5M 12S,1H 5M 16S,,,,
649,18,new,680,3918,3920,1H 5M 18S,1H 5M 20S,,,,
650,18,new,682,3924,3928,1H 5M 24S,1H 5M 28S,,,,
651,18,new,684,3932,3940,1H 5M 32S,1H 5M 40S,,,,
652,18,new,686,3944,3948,1H 5M 44S,1H 5M 48S,,,,
653,18,new,688,3954,3958,1H 5M 54S,1H 5M 58S,,,,
654,18,new,693,3968,3974,1H 6M 8S,1H 6M 14S,,,,
655,18,new,695,3978,3982,1H 6M 18S,1H 6M 22S,,,,
656,18,new,697,3990,3992,1H 6M 30S,1H 6M 32S,,,,
657,18,new,699,3994,4008,1H 6M 34S,1H 6M 48S,,,,
658,18,new,703,4012,4014,1H 6M 52S,1H 6M 54S,,,,
659,18,new,705,4024,4030,1H 7M 4S,1H 7M 10S,,,,
660,18,new,707,4036,4040,1H 7M 16S,1H 7M 20S,,,,
661,18,new,709,4048,4052,1H 7M 28S,1H 7M 32S,,,,
662,18,new,714,4106,4120,1H 8M 26S,1H 8M 40S,,,,
663,18,new,716,4124,4140,1H 8M 44S,1H 9M 0S,,,,
664,18,new,718,4146,4152,1H 9M 6S,1H 9M 12S,,,,
665,18,new,720,4164,4172,1H 9M 24S,1H 9M 32S,,,,
666,18,new,722,4180,4190,1H 9M 40S,1H 9M 50S,,,,
667,18,new,734,4264,4268,1H 11M 4S,1H 11M 8S,,,,
668,18,new,744,4302,4320,1H 11M 42S,1H 12M 0S,,,,
669,18,new,747,4318,4462,1H 11M 58S,1H 14M 22S,,,,
670,18,new,766,4498,4504,1H 14M 58S,1H 15M 4S,,,,
671,19,new,35,308,330,5M 8S,5M 30S,,,,
672,19,new,38,334,350,5M 34S,5M 50S,,,,
673,19,new,48,414,418,6M 54S,6M 58S,,,,
674,19,new,52,448,450,7M 28S,7M 30S,,,,
675,19,new,53,474,476,7M 54S,7M 56S,,,,
676,19,new,57,516,518,8M 36S,8M 38S,,,,
677,19,new,58,530,532,8M 50S,8M 52S,,,,
678,19,new,77,682,684,11M 22S,11M 24S,,,,
679,19,new,82,716,718,11M 56S,11M 58S,,,,
680,19,new,86,728,730,12M 8S,12M 10S,,,,
681,19,new,92,744,746,12M 24S,12M 26S,,,,
682,19,new,95,754,760,12M 34S,12M 40S,,,,
683,19,new,111,856,858,14M 16S,14M 18S,,,,
684,19,new,131,1130,1132,18M 50S,18M 52S,,,,
685,19,new,144,1222,1228,20M 22S,20M 28S,,,,
686,19,new,154,1282,1284,21M 22S,21M 24S,,,,
687,19,new,155,1298,1302,21M 38S,21M 42S,,,,
688,19,new,166,1342,1344,22M 22S,22M 24S,,,,
689,19,new,170,1374,1376,22M 54S,22M 56S,,,,
690,19,new,175,1406,1408,23M 26S,23M 28S,,,,
691,19,new,265,2174,2176,36M 14S,36M 16S,,,,
692,19,new,269,2260,2262,37M 40S,37M 42S,,,,
693,19,new,270,2264,2270,37M 44S,37M 50S,,,,
694,19,new,276,2312,2314,38M 32S,38M 34S,,,,
695,19,new,280,2322,2344,38M 42S,39M 4S,,,,
696,19,new,290,2456,2458,40M 56S,40M 58S,,,,
697,19,new,296,2492,2494,41M 32S,41M 34S,,,,
698,19,new,301,2580,2582,43M 0S,43M 2S,,,,
699,19,new,308,2656,2658,44M 16S,44M 18S,,,,
700,19,new,316,2700,2706,45M 0S,45M 6S,,,,
701,19,new,317,2700,2706,45M 0S,45M 6S,,,,
702,19,new,326,2764,2768,46M 4S,46M 8S,,,,
703,19,new,330,2782,2790,46M 22S,46M 30S,,,,
704,19,new,331,2788,2790,46M 28S,46M 30S,,,,
705,19,new,340,2872,2874,47M 52S,47M 54S,,,,
706,19,new,350,3016,3018,50M 16S,50M 18S,,,,
707,20,new,11,3580,3584,59M 40S,59M 44S,,,,
708,20,new,16,3592,3596,59M 52S,59M 56S,,,,
709,20,new,57,3754,3760,1H 2M 34S,1H 2M 40S,,,,
710,20,new,79,3892,3936,1H 4M 52S,1H 5M 36S,,,,
711,20,new,93,3976,3978,1H 6M 16S,1H 6M 18S,,,,
712,20,new,138,4214,4216,1H 10M 14S,1H 10M 16S,,,,
