,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,,
93,13,new,779,2884,2888,48M 4S,48M 8S,,,,,
94,16,new,130,2506,2520,41M 46S,42M 0S,,,,,
95,16,new,186,2984,2986,49M 44S,49M 46S,,,,,
96,16,new,195,3008,3010,50M 8S,50M 10S,,,,,
97,17,new,13,144,156,2M 24S,2M 36S,,,,,
98,17,new,270,3530,3540,58M 50S,59M 0S,,,,,
99,17,new,458,4888,4896,1H 21M 28S,1H 21M 36S,,,,,
100,18,new,9,128,130,2M 8S,2M 10S,,,,,
101,18,new,18,144,162,2M 24S,2M 42S,,,,,
102,18,new,38,272,276,4M 32S,4M 36S,,,,,
103,18,new,39,274,276,4M 34S,4M 36S,,,,,
104,18,new,57,364,366,6M 4S,6M 6S,,,,,
105,18,new,169,1030,1052,17M 10S,17M 32S,,,,,
106,18,new,180,1058,1062,17M 38S,17M 42S,,,,,
107,18,new,344,1826,1834,30M 26S,30M 34S,,,,,
108,18,new,459,2332,2336,38M 52S,38M 56S,,,,,
109,19,new,142,1212,1218,20M 12S,20M 18S,,,,,
