,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity
103,17,new,496,5088,5092,1H 24M 48S,1H 24M 52S,,,
104,18,new,42,286,288,4M 46S,4M 48S,,,
105,18,new,68,438,456,7M 18S,7M 36S,,,
106,18,new,130,810,822,13M 30S,13M 42S,,,
107,18,new,141,862,864,14M 22S,14M 24S,,,
108,18,new,212,1188,1190,19M 48S,19M 50S,,,
109,18,new,214,1204,1250,20M 4S,20M 50S,,,
110,18,new,231,1352,1444,22M 32S,24M 4S,,,
111,18,new,337,1810,1826,30M 10S,30M 26S,,,
112,18,new,431,2194,2196,36M 34S,36M 36S,,,
113,18,new,519,2524,2538,42M 4S,42M 18S,,,
114,18,new,520,2528,2536,42M 8S,42M 16S,,,
115,18,new,795,4712,4720,1H 18M 32S,1H 18M 40S,,,
116,18,new,799,4714,4716,1H 18M 34S,1H 18M 36S,,,
