,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,,,type,,,,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type
34,18,new,139,860,862,14M 20S,14M 22S,co,,reposition,,,bottle,,,56181,34,10,new,olive,56,682,694,11M 22S,11M 34S,bottle
35,19,new,137,1144,1152,19M 4S,19M 12S,cpB,co,add,retrieve,store,bottle,,,35051,35,10,new,olive_greek,350,3440,3456,57M 20S,57M 36S,refillable
36,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,28761,36,11,new,0,166,1900,1904,31M 40S,31M 44S,bottle
37,2,reg,73,1238,1250,20M 38S,20M 50S,,,,,,,,,183121,37,13,new,olive,183,762,764,12M 42S,12M 44S,bottle
38,4,reg,87,870,878,14M 30S,14M 38S,,,,,,,,,251141,38,13,new,vegetable,251,1002,1006,16M 42S,16M 46S,bottle
39,4,reg,88,894,896,14M 54S,14M 56S,,,,,,,,,7791,39,13,new,spray,spray,spray,spray,spray,spray,spray
40,4,reg,90,906,950,15M 6S,15M 50S,,,,,,,,,206101,40,15,new,olive,206,1222,1252,20M 22S,20M 52S,bottle
41,4,reg,95,988,994,16M 28S,16M 34S,,,,,,,,,130141,41,16,new,olive,130,2506,2520,41M 46S,42M 0S,bottle
42,4,reg,100,1010,1014,16M 50S,16M 54S,,,,,,,,,13901,42,17,new,vegetable,13,144,156,2M 24S,2M 36S,bottle
43,4,reg,210,1680,1684,28M 0S,28M 4S,,,,,,,,,43371,43,17,new,olive,433,4714,4718,1H 18M 34S,1H 18M 38S,bottle
44,6,reg,64,876,900,14M 36S,15M 0S,,,,,,,,,91011,44,18,new,olive,9,128,130,2M 8S,2M 10S,bottle
45,6,reg,206,2470,2474,41M 10S,41M 14S,,,,,,,,,45961,45,18,new,vegetable,459,2332,2336,38M 52S,38M 56S,bottle
46,9,reg,128,952,972,15M 52S,16M 12S,,,,,,,,,137171,46,19,new,0,137,1144,1152,19M 4S,19M 12S,bottle
47,9,reg,142,1026,1052,17M 6S,17M 32S,,,,,,,,,,,,,,,,,,,
48,10,reg,24,164,172,2M 44S,2M 52S,,,,,,,,,,,,,,,,,,,
49,10,reg,160,1244,1252,20M 44S,20M 52S,,,,,,,,,,,,,,,,,,,
50,10,reg,203,1580,1590,26M 20S,26M 30S,,,,,,,,,,,,,,,,,,,
51,11,reg,90,1152,1164,19M 12S,19M 24S,,,,,,,,,,,,,,,,,,,
52,12,reg,20,196,200,3M 16S,3M 20S,,,,,,,,,,,,,,,,,,,
53,12,reg,217,2428,2434,40M 28S,40M 34S,,,,,,,,,,,,,,,,,,,
54,13,reg,47,350,368,5M 50S,6M 8S,,,,,,,,,,,,,,,,,,,
55,13,reg,365,2168,2170,36M 8S,36M 10S,,,,,,,,,,,,,,,,,,,
56,13,reg,426,2518,2524,41M 58S,42M 4S,,,,,,,,,,,,,,,,,,,
57,15,reg,407,2104,2114,35M 4S,35M 14S,,,,,,,,,,,,,,,,,,,
58,16,reg,4,100,104,1M 40S,1M 44S,,,,,,,,,,,,,,,,,,,
59,16,reg,9,108,118,1M 48S,1M 58S,,,,,,,,,,,,,,,,,,,
60,16,reg,54,366,368,6M 6S,6M 8S,,,,,,,,,,,,,,,,,,,
61,16,reg,110,846,860,14M 6S,14M 20S,,,,,,,,,,,,,,,,,,,
62,18,reg,78,426,458,7M 6S,7M 38S,,,,,,,,,,,,,,,,,,,
63,18,reg,222,1002,1016,16M 42S,16M 56S,,,,,,,,,,,,,,,,,,,
64,18,reg,276,1374,1384,22M 54S,23M 4S,,,,,,,,,,,,,,,,,,,
65,19,reg,120,792,800,13M 12S,13M 20S,,,,,,,,,,,,,,,,,,,
66,19,reg,124,804,806,13M 24S,13M 26S,,,,,,,,,,,,,,,,,,,
67,19,reg,222,1690,1692,28M 10S,28M 12S,,,,,,,,,,,,,,,,,,,
68,19,reg,263,1940,1942,32M 20S,32M 22S,,,,,,,,,,,,,,,,,,,
