,participant,session,order,start,end,start_hms,end_hms,place,activity,activity 2,type,,participant,session,items_uniq,order,start,end,start_hms,end_hms,type
505,15,new,99,604,622,10M 4S,10M 22S,,,,,,,,,,,,,,
506,15,new,229,1334,1350,22M 14S,22M 30S,,,,,,,,,,,,,,
507,15,new,375,2326,2434,38M 46S,40M 34S,,,,,,,,,,,,,,
508,15,new,396,2470,2474,41M 10S,41M 14S,,,,,,,,,,,,,,
509,15,new,400,2486,2496,41M 26S,41M 36S,,,,,,,,,,,,,,
510,16,new,34,1716,1724,28M 36S,28M 44S,,,,,,,,,,,,,,
511,16,new,73,2204,2206,36M 44S,36M 46S,,,,,,,,,,,,,,
512,16,new,113,2414,2418,40M 14S,40M 18S,,,,,,,,,,,,,,
513,16,new,120,2462,2472,41M 2S,41M 12S,,,,,,,,,,,,,,
514,16,new,217,3198,3200,53M 18S,53M 20S,,,,,,,,,,,,,,
515,17,new,5,62,80,1M 2S,1M 20S,,,,,,,,,,,,,,
516,17,new,48,952,976,15M 52S,16M 16S,,,,,,,,,,,,,,
517,17,new,73,1476,1492,24M 36S,24M 52S,,,,,,,,,,,,,,
518,17,new,84,1578,1582,26M 18S,26M 22S,,,,,,,,,,,,,,
519,17,new,94,1728,1736,28M 48S,28M 56S,,,,,,,,,,,,,,
520,17,new,109,1944,1948,32M 24S,32M 28S,,,,,,,,,,,,,,
521,17,new,152,2166,2174,36M 6S,36M 14S,,,,,,,,,,,,,,
522,17,new,162,2196,2206,36M 36S,36M 46S,,,,,,,,,,,,,,
523,17,new,214,2890,2902,48M 10S,48M 22S,,,,,,,,,,,,,,
524,17,new,237,3240,3248,54M 0S,54M 8S,,,,,,,,,,,,,,
525,17,new,240,3252,3262,54M 12S,54M 22S,,,,,,,,,,,,,,
526,17,new,245,3326,3334,55M 26S,55M 34S,,,,,,,,,,,,,,
527,17,new,267,3516,3520,58M 36S,58M 40S,,,,,,,,,,,,,,
528,17,new,324,4002,4006,1H 6M 42S,1H 6M 46S,,,,,,,,,,,,,,
529,17,new,414,4638,4642,1H 17M 18S,1H 17M 22S,,,,,,,,,,,,,,
530,17,new,425,4674,4688,1H 17M 54S,1H 18M 8S,,,,,,,,,,,,,,
531,18,new,51,332,338,5M 32S,5M 38S,,,,,,,,,,,,,,
532,18,new,75,448,454,7M 28S,7M 34S,,,,,,,,,,,,,,
533,18,new,85,500,590,8M 20S,9M 50S,,,,,,,,,,,,,,
534,18,new,153,984,1004,16M 24S,16M 44S,,,,,,,,,,,,,,
535,18,new,206,1158,1164,19M 18S,19M 24S,,,,,,,,,,,,,,
536,18,new,232,1352,1354,22M 32S,22M 34S,,,,,,,,,,,,,,
537,18,new,235,1358,1360,22M 38S,22M 40S,,,,,,,,,,,,,,
538,18,new,242,1382,1388,23M 2S,23M 8S,,,,,,,,,,,,,,
539,18,new,319,1762,1764,29M 22S,29M 24S,,,,,,,,,,,,,,
540,18,new,332,1792,1818,29M 52S,30M 18S,,,,,,,,,,,,,,
541,18,new,370,1880,1882,31M 20S,31M 22S,,,,,,,,,,,,,,
542,18,new,378,1898,1946,31M 38S,32M 26S,,,,,,,,,,,,,,
543,18,new,408,2104,2106,35M 4S,35M 6S,,,,,,,,,,,,,,
544,18,new,421,2170,2178,36M 10S,36M 18S,,,,,,,,,,,,,,
545,18,new,530,2618,2662,43M 38S,44M 22S,,,,,,,,,,,,,,
546,18,new,538,2680,2684,44M 40S,44M 44S,,,,,,,,,,,,,,
547,18,new,602,3082,3108,51M 22S,51M 48S,,,,,,,,,,,,,,
548,18,new,621,3206,3270,53M 26S,54M 30S,,,,,,,,,,,,,,
549,18,new,649,3648,3674,1H 0M 48S,1H 1M 14S,,,,,,,,,,,,,,
550,18,new,668,3812,3874,1H 3M 32S,1H 4M 34S,,,,,,,,,,,,,,
551,18,new,729,4220,4240,1H 10M 20S,1H 10M 40S,,,,,,,,,,,,,,
552,18,new,741,4278,4298,1H 11M 18S,1H 11M 38S,,,,,,,,,,,,,,
553,18,new,752,4356,4460,1H 12M 36S,1H 14M 20S,,,,,,,,,,,,,,
554,18,new,808,4734,4740,1H 18M 54S,1H 19M 0S,,,,,,,,,,,,,,
555,19,new,34,306,356,5M 6S,5M 56S,,,,,,,,,,,,,,
556,19,new,43,364,374,6M 4S,6M 14S,,,,,,,,,,,,,,
557,19,new,66,576,586,9M 36S,9M 46S,,,,,,,,,,,,,,
558,19,new,89,736,738,12M 16S,12M 18S,,,,,,,,,,,,,,
559,19,new,105,826,846,13M 46S,14M 6S,,,,,,,,,,,,,,
560,19,new,114,926,936,15M 26S,15M 36S,,,,,,,,,,,,,,
561,19,new,117,986,1008,16M 26S,16M 48S,,,,,,,,,,,,,,
562,19,new,121,1010,1014,16M 50S,16M 54S,,,,,,,,,,,,,,
563,19,new,230,1884,1912,31M 24S,31M 52S,,,,,,,,,,,,,,
564,19,new,282,2322,2344,38M 42S,39M 4S,,,,,,,,,,,,,,
565,19,new,364,3062,3064,51M 2S,51M 4S,,,,,,,,,,,,,,
566,19,new,387,3634,3642,1H 0M 34S,1H 0M 42S,,,,,,,,,,,,,,
567,20,new,4,3548,3564,59M 8S,59M 24S,,,,,,,,,,,,,,
568,20,new,24,3610,3622,1H 0M 10S,1H 0M 22S,,,,,,,,,,,,,,
569,20,new,30,3630,3632,1H 0M 30S,1H 0M 32S,,,,,,,,,,,,,,
570,20,new,38,3662,3676,1H 1M 2S,1H 1M 16S,,,,,,,,,,,,,,
571,20,new,85,3954,3956,1H 5M 54S,1H 5M 56S,,,,,,,,,,,,,,
572,20,new,91,3966,3968,1H 6M 6S,1H 6M 8S,,,,,,,,,,,,,,
573,20,new,128,4152,4178,1H 9M 12S,1H 9M 38S,,,,,,,,,,,,,,
574,20,new,169,4508,4510,1H 15M 8S,1H 15M 10S,,,,,,,,,,,,,,
