,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,activity 2,comment,type,,,,,,,,,,,
62,11,new,37,442,462,7M 22S,7M 42S,,,,,,,,,,,,,,,,,
63,11,new,41,470,644,7M 50S,10M 44S,,,,,,,,,,,,,,,,,
64,13,new,293,1118,1140,18M 38S,19M 0S,,,,,,,,,,,,,,,,,
65,14,new,27,184,286,3M 4S,4M 46S,,,,,,,,,,,,,,,,,
66,14,new,43,290,310,4M 50S,5M 10S,,,,,,,,,,,,,,,,,
67,15,new,106,680,726,11M 20S,12M 6S,,,,,,,,,,,,,,,,,
68,15,new,109,728,730,12M 8S,12M 10S,,,,,,,,,,,,,,,,,
69,15,new,216,1280,1302,21M 20S,21M 42S,,,,,,,,,,,,,,,,,
70,16,new,37,1742,1842,29M 2S,30M 42S,,,,,,,,,,,,,,,,,
71,16,new,60,2024,2028,33M 44S,33M 48S,,,,,,,,,,,,,,,,,
72,16,new,62,2030,2032,33M 50S,33M 52S,,,,,,,,,,,,,,,,,
73,16,new,66,2034,2046,33M 54S,34M 6S,,,,,,,,,,,,,,,,,
74,16,new,78,2232,2240,37M 12S,37M 20S,,,,,,,,,,,,,,,,,
75,16,new,135,2530,2532,42M 10S,42M 12S,,,,,,,,,,,,,,,,,
76,17,new,204,2780,2882,46M 20S,48M 2S,,,,,,,,,,,,,,,,,
77,17,new,464,4912,4920,1H 21M 52S,1H 22M 0S,,,,,,,,,,,,,,,,,
78,18,new,13,136,138,2M 16S,2M 18S,,,,,,,,,,,,,,,,,
79,18,new,93,562,694,9M 22S,11M 34S,,,,,,,,,,,,,,,,,
80,18,new,105,652,758,10M 52S,12M 38S,,,,,,,,,,,,,,,,,
81,18,new,113,702,966,11M 42S,16M 6S,,,,,,,,,,,,,,,,,
82,18,new,123,764,802,12M 44S,13M 22S,,,,,,,,,,,,,,,,,
83,18,new,136,842,846,14M 2S,14M 6S,,,,,,,,,,,,,,,,,
84,18,new,323,1772,1778,29M 32S,29M 38S,,,,,,,,,,,,,,,,,
85,18,new,343,1826,1828,30M 26S,30M 28S,,,,,,,,,,,,,,,,,
86,18,new,432,2198,2202,36M 38S,36M 42S,,,,,,,,,,,,,,,,,
