,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,activity 2,type,,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
68,11,new,386,3582,3590,59M 42S,59M 50S,,,,,,,,,,,,,,,,
69,11,new,390,3602,3682,1H 0M 2S,1H 1M 22S,,,,,,,,,,,,,,,,
70,11,new,433,3924,3974,1H 5M 24S,1H 6M 14S,,,,,,,,,,,,,,,,
71,11,new,449,4044,4122,1H 7M 24S,1H 8M 42S,,,,,,,,,,,,,,,,
72,11,new,460,4176,4256,1H 9M 36S,1H 10M 56S,,,,,,,,,,,,,,,,
73,11,new,596,5086,5138,1H 24M 46S,1H 25M 38S,,,,,,,,,,,,,,,,
74,13,new,11,66,84,1M 6S,1M 24S,,,,,,,,,,,,,,,,
75,13,new,16,86,100,1M 26S,1M 40S,,,,,,,,,,,,,,,,
76,13,new,27,124,132,2M 4S,2M 12S,,,,,,,,,,,,,,,,
77,13,new,34,168,202,2M 48S,3M 22S,,,,,,,,,,,,,,,,
78,13,new,88,402,404,6M 42S,6M 44S,,,,,,,,,,,,,,,,
79,13,new,94,438,444,7M 18S,7M 24S,,,,,,,,,,,,,,,,
80,13,new,261,1024,1032,17M 4S,17M 12S,,,,,,,,,,,,,,,,
81,19,new,310,2662,2668,44M 22S,44M 28S,,,,,,,,,,,,,,,,
82,19,new,321,2726,2728,45M 26S,45M 28S,,,,,,,,,,,,,,,,
83,19,new,351,3022,3036,50M 22S,50M 36S,,,,,,,,,,,,,,,,
