,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,activity 2,type,,,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type
61,9,new,277,1582,1612,26M 22S,26M 52S,,,,,,,,,,,,,,,,,
62,9,new,297,1688,1692,28M 8S,28M 12S,,,,,,,,,,,,,,,,,
63,9,new,338,1996,2042,33M 16S,34M 2S,,,,,,,,,,,,,,,,,
64,9,new,442,2868,2870,47M 48S,47M 50S,,,,,,,,,,,,,,,,,
65,9,new,443,2870,2904,47M 50S,48M 24S,,,,,,,,,,,,,,,,,
66,10,new,72,936,972,15M 36S,16M 12S,,,,,,,,,,,,,,,,,
67,10,new,122,1286,1296,21M 26S,21M 36S,,,,,,,,,,,,,,,,,
68,10,new,132,1370,1390,22M 50S,23M 10S,,,,,,,,,,,,,,,,,
69,10,new,221,2286,2294,38M 6S,38M 14S,,,,,,,,,,,,,,,,,
70,10,new,248,2600,2620,43M 20S,43M 40S,,,,,,,,,,,,,,,,,
71,10,new,612,5296,5306,1H 28M 16S,1H 28M 26S,,,,,,,,,,,,,,,,,
72,10,new,641,5470,5484,1H 31M 10S,1H 31M 24S,,,,,,,,,,,,,,,,,
73,10,new,649,5536,5552,1H 32M 16S,1H 32M 32S,,,,,,,,,,,,,,,,,
74,10,new,757,6208,6216,1H 43M 28S,1H 43M 36S,,,,,,,,,,,,,,,,,
75,10,new,801,6470,6476,1H 47M 50S,1H 47M 56S,,,,,,,,,,,,,,,,,
76,10,new,815,6544,6544,1H 49M 4S,1H 49M 4S,,,,,,,,,,,,,,,,,
77,10,new,819,6556,6584,1H 49M 16S,1H 49M 44S,,,,,,,,,,,,,,,,,
78,14,new,416,3420,3438,57M 0S,57M 18S,,,,,,,,,,,,,,,,,
79,15,new,75,416,438,6M 56S,7M 18S,,,,,,,,,,,,,,,,,
80,16,new,20,1630,1632,27M 10S,27M 12S,,,,,,,,,,,,,,,,,
81,16,new,28,1682,1692,28M 2S,28M 12S,,,,,,,,,,,,,,,,,
82,16,new,36,1738,1740,28M 58S,29M 0S,,,,,,,,,,,,,,,,,
83,16,new,59,2020,2030,33M 40S,33M 50S,,,,,,,,,,,,,,,,,
84,16,new,75,2212,2214,36M 52S,36M 54S,,,,,,,,,,,,,,,,,
85,16,new,121,2474,2476,41M 14S,41M 16S,,,,,,,,,,,,,,,,,
86,16,new,266,3646,3648,1H 0M 46S,1H 0M 48S,,,,,,,,,,,,,,,,,
87,16,new,313,4274,4276,1H 11M 14S,1H 11M 16S,,,,,,,,,,,,,,,,,
88,17,new,7,96,140,1M 36S,2M 20S,,,,,,,,,,,,,,,,,
89,17,new,12,140,174,2M 20S,2M 54S,,,,,,,,,,,,,,,,,
90,17,new,274,3552,3568,59M 12S,59M 28S,,,,,,,,,,,,,,,,,
91,17,new,298,3788,3816,1H 3M 8S,1H 3M 36S,,,,,,,,,,,,,,,,,
92,17,new,310,3902,3908,1H 5M 2S,1H 5M 8S,,,,,,,,,,,,,,,,,
93,17,new,318,3948,3976,1H 5M 48S,1H 6M 16S,,,,,,,,,,,,,,,,,
94,17,new,332,4048,4058,1H 7M 28S,1H 7M 38S,,,,,,,,,,,,,,,,,
95,17,new,344,4136,4138,1H 8M 56S,1H 8M 58S,,,,,,,,,,,,,,,,,
96,17,new,349,4144,4146,1H 9M 4S,1H 9M 6S,,,,,,,,,,,,,,,,,
97,17,new,395,4450,4452,1H 14M 10S,1H 14M 12S,,,,,,,,,,,,,,,,,
98,17,new,428,4690,4696,1H 18M 10S,1H 18M 16S,,,,,,,,,,,,,,,,,
